开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
ci4, qi4	〖夾 刀 㓨〗〖夹 刀 刾〗〖夹 刂 刾〗
ba1, ba4	〖魚 巴 䰾〗〖鱼 巴 鲃〗
wei4	〖魚 尉 䲁〗〖鱼 尉 鳚〗
guan3	〖魚 管 䲘〗〖鱼 管 鳤〗
xuan2	〖睘 鳥 䴉〗〖睘 鸟 鹮〗
ta4	〖人 達 㒓〗〖人 达 𠉂〗〖亻 达 𠉂〗
	〖皮 刀 㓟〗〖皮 刂 㓟〗
jie2, qia4	〖吉 刀 㓤〗〖吉 刂 㓤〗
huan4	〖厶 厶 㕕〗
ao4, bi4	〖口 夭 㕭〗
li4	〖口 立 㕸〗
ba4, nuo4	〖口 奈 㖠〗
tian3	〖口 添 㖭〗
hu2	〖口 胡 㗅〗
ge2, kai4	〖口 革 㗆〗
ga3	〖口 架 㗎〗
	〖口 靴 㗾〗
	〖絲 言 口 㘘〗〖亦 口 □〗
	〖兇 夂 㚇〗〖凶 八 夂 㚇〗〖凶 八 夕 㚇〗
qiu2	〖尸 求 㞗〗
	〖卵 心 㤻〗
ge2, qia4	〖各 戈 㦴〗
gong3	〖巩 手 㧬〗
pou2, pou3	〖手 否 㧵〗〖扌 否 㧵〗〖才 否 㧵〗
ta4	〖手 沓 㧺〗〖扌 沓 㧺〗〖才 沓 㧺〗
zhi3, zhuo2, zu2	〖手 豖 㧻〗〖扌 豖 㧻〗〖才 豖 㧻〗
biao4	〖手 表 㧼〗〖扌 表 㧼〗〖才 表 㧼〗
gu4, hu2	〖手 固 㧽〗〖扌 固 㧽〗〖才 固 㧽〗
	〖手 忽 㧾〗〖扌 忽 㧾〗〖才 忽 㧾〗
	〖手 從 㧿〗〖手 从 □〗〖扌 从 □〗〖才 从 □〗
bing3	〖手 秉 㨀〗〖扌 秉 㨀〗〖才 秉 㨀〗
zhi2, zhi4	〖手 直 㨁〗〖扌 直 㨁〗〖才 直 㨁〗
cheng2, dui3	〖手 享 㨃〗〖扌 享 㨃〗〖才 享 㨃〗
zhao4	〖手 周 㨄〗〖扌 周 㨄〗〖才 周 㨄〗
nei4, rui4	〖手 芮 㨅〗〖扌 芮 㨅〗〖才 芮 㨅〗
lin3	〖手 林 㨆〗〖扌 林 㨆〗〖才 林 㨆〗
po2	〖波 手 㨇〗
